mode,num_prompts,mean_tokens_per_s,mean_speedup_vs_ar,mean_accepted_len,mean_draft_depth,mean_draft_nodes,mean_verified_nodes,draft_time_ratio,verify_time_ratio,tree_construct_time_ratio,p50_latency_s,p95_latency_s
opt_tree_ddd,4,63.048253506264544,1.5770390303976487,2.5395864887800372,4.0,32.0,32.0,0.1900473482407386,0.7650121056881254,0.022083183972513437,2.158447949681431,2.8455507680773735
ddd,4,62.62828784178935,1.56653434220294,2.5395864887800372,4.0,32.0,32.0,0.19153027490471317,0.7690669019396725,0.016981116665682652,2.174357753712684,2.8735685851424932
eagle_baseline,4,54.910353301770506,1.373484046171275,2.656132887873606,9.0,32.0,32.0,0.33245251905503975,0.6330037607222352,0.01445658728891073,2.714315049815923,3.3491208786144853
opt_tree,4,62.3594326794755,1.5598094123133166,2.5395864887800372,4.0,32.0,32.0,0.1846535647679688,0.7687945723575565,0.022119092360647873,2.1837365925312042,2.874540712684393
vanilla_ar,4,39.978879590803146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1171753434464335,3.4915077993646264
